City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Narsaq,GL,60.9167,-46.05,44.82,82,98,1.19,overcast clouds
80,Darovskoy,RU,58.77,47.9564,35.58,99,100,7.52,overcast clouds
81,General Roca,AR,-39.0333,-67.5833,79.63,26,0,24.96,clear sky
82,Hamilton,US,39.1834,-84.5333,68.99,57,75,8.05,broken clouds
83,Caravelas,BR,-17.7125,-39.2481,76.98,76,20,6.85,few clouds
84,Tshikapa,CD,-6.4167,20.8,71.04,90,39,2.8,light rain
85,Rocha,UY,-34.4833,-54.3333,56.3,66,100,8.99,overcast clouds
86,Bridgewater,CA,44.3835,-64.5155,67.1,68,74,9.22,broken clouds
87,Rusape,ZW,-18.5278,32.1284,56.16,55,0,5.77,clear sky
88,Calderitas,MX,18.55,-88.25,88.23,46,14,4.54,few clouds
89,The Valley,AI,18.217,-63.0578,79.11,77,100,15.19,overcast clouds
90,Megion,RU,61.0296,76.1136,30.22,74,22,8.41,few clouds
91,Den Helder,NL,52.9599,4.7593,54.01,92,100,1.14,overcast clouds
92,Nuuk,GL,64.1835,-51.7216,36.21,100,100,3.44,overcast clouds
93,East London,ZA,-33.0153,27.9116,65.59,92,100,8.81,moderate rain
94,Qom,IR,34.6401,50.8764,80.98,12,0,3.02,clear sky
95,Kruisfontein,ZA,-34.0033,24.7314,61.0,88,100,9.62,overcast clouds
96,Provins,FR,48.5833,3.1667,49.96,66,61,5.35,broken clouds
97,Bathsheba,BB,13.2167,-59.5167,77.54,82,100,3.11,overcast clouds
98,Ribeira Grande,PT,38.5167,-28.7,68.4,64,40,9.22,scattered clouds
99,Sfantu Gheorghe,RO,45.8667,25.7833,59.27,86,23,1.21,few clouds
100,Souillac,MU,-20.5167,57.5167,69.21,74,7,10.78,clear sky
101,Marsh Harbour,BS,26.5412,-77.0636,83.05,76,100,24.9,light rain
102,Husavik,IS,66.0449,-17.3389,46.11,83,100,9.24,overcast clouds
103,Jaen,ES,38.0,-3.5,61.25,83,100,7.96,overcast clouds
104,Zheleznodorozhnyy,RU,55.7503,38.0042,50.43,89,46,5.48,scattered clouds
105,Jamame,SO,0.0722,42.7506,75.61,84,39,13.6,scattered clouds
106,Polunochnoye,RU,60.8697,60.4153,20.93,92,37,1.59,scattered clouds
107,Noyabrsk,RU,63.1994,75.4507,25.88,68,11,8.75,few clouds
108,Victoria,HK,22.2855,114.1577,83.25,88,98,8.01,light rain
109,Nizhniy Baskunchak,RU,48.2198,46.8311,67.6,62,33,3.15,scattered clouds
110,Yayva,RU,59.3303,57.2641,27.18,65,0,9.66,clear sky
111,Laje,BR,-10.1833,-40.9667,88.63,22,100,10.33,overcast clouds
112,Cubuk,TR,40.2386,33.0322,68.77,62,0,0.0,clear sky
113,Masvingo,ZW,-20.0637,30.8277,66.15,47,0,8.57,clear sky
