City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,Corum,40.5,34.75,74.62,30,29,4.99,TR,2022-09-29 14:21:47
200,Coahuayana,18.7333,-103.6833,76.28,92,53,4.23,MX,2022-09-29 14:21:48
201,Balashov,51.5502,43.1667,64.17,58,14,5.77,RU,2022-09-29 14:21:48
202,Seybaplaya,19.65,-90.6667,78.26,64,95,7.36,MX,2022-09-29 14:21:49
203,Katangli,51.7102,143.2326,36.39,66,10,6.6,RU,2022-09-29 14:21:49
204,Havre-Saint-Pierre,50.2334,-63.5986,52.16,71,40,5.75,CA,2022-09-29 14:21:49
205,Mumford,5.2618,-0.759,79.75,72,38,10.8,GH,2022-09-29 14:21:50
206,Murgab,37.4966,61.9714,82.27,30,0,6.91,TM,2022-09-29 14:21:50
207,Innisfail,-17.5333,146.0333,69.71,87,44,3.27,AU,2022-09-29 14:21:50
208,Pasir Gudang,1.4584,103.8805,80.92,83,0,2.3,MY,2022-09-29 14:21:51
209,Cidreira,-30.1811,-50.2056,62.67,56,99,10.76,BR,2022-09-29 14:21:51
210,Amapa,1.0,-52.0,91.0,44,3,5.14,BR,2022-09-29 14:21:51
211,Derzhavinsk,51.1,66.3167,37.0,34,35,5.79,KZ,2022-09-29 14:21:52
212,Wattegama,6.7989,81.4808,80.08,72,100,5.7,LK,2022-09-29 14:21:53
213,Hofn,64.2539,-15.2082,44.62,93,100,8.05,IS,2022-09-29 14:21:53
214,Fort Dodge,42.4975,-94.168,50.83,71,0,6.91,US,2022-09-29 14:21:54
215,Esperance,-33.8667,121.9,54.36,82,0,16.28,AU,2022-09-29 14:21:55
216,Temerloh,3.4483,102.4176,76.64,89,97,1.92,MY,2022-09-29 14:21:55
217,Seoul,37.5683,126.9778,63.84,100,0,3.44,KR,2022-09-29 14:18:14
218,San Rafael,-34.6177,-68.3301,60.35,50,100,16.6,AR,2022-09-29 14:20:39
219,Bentiu,9.2333,29.8333,86.74,62,63,4.83,SS,2022-09-29 14:21:56
220,Nanortalik,60.1432,-45.2371,41.16,96,100,11.03,GL,2022-09-29 14:21:56
221,Biak,-0.9131,122.8766,76.62,87,29,1.43,ID,2022-09-29 14:21:57
222,Bhachau,23.2833,70.35,86.88,55,86,7.25,IN,2022-09-29 14:21:57
223,Yar-Sale,66.8333,70.8333,32.52,71,98,6.67,RU,2022-09-29 14:21:57
224,Karratha,-20.7377,116.8463,72.48,61,0,13.82,AU,2022-09-29 14:21:57
225,Solton,52.8429,86.4787,30.06,88,100,7.4,RU,2022-09-29 14:21:22
226,Grindavik,63.8424,-22.4338,51.75,93,100,17.27,IS,2022-09-29 14:21:58
227,Khonsa,27.0167,95.5667,68.68,91,0,3.18,IN,2022-09-29 14:21:59
228,Yuncheng,35.0231,110.9928,73.83,31,100,6.33,CN,2022-09-29 14:21:59
229,Yambio,4.5721,28.3955,78.06,86,94,3.53,SS,2022-09-29 14:21:59
230,Luanda,-8.8368,13.2343,77.0,78,75,9.22,AO,2022-09-29 14:20:03
231,Honningsvag,70.9821,25.9704,49.75,71,22,11.5,NO,2022-09-29 14:21:59
232,Ilmajoki,62.7333,22.5667,46.96,79,40,5.75,FI,2022-09-29 14:23:00
233,Beringovskiy,63.05,179.3167,32.29,69,4,5.59,RU,2022-09-29 14:23:00
234,Cabedelo,-6.9811,-34.8339,84.87,66,72,13.73,BR,2022-09-29 14:23:00
235,Novyy Yegorlyk,46.3927,41.8716,76.26,39,1,7.47,RU,2022-09-29 14:23:01
236,Nantucket,41.2835,-70.0995,66.31,62,0,16.11,US,2022-09-29 14:23:01
237,Ola,59.5833,151.2833,41.14,98,100,4.76,RU,2022-09-29 14:23:02
238,Matveyevka,52.15,56.1833,40.69,87,100,18.77,RU,2022-09-29 14:23:02
239,San Quintin,30.4833,-115.95,69.93,86,0,2.66,MX,2022-09-29 14:23:02
240,Vilyuysk,63.7553,121.6247,24.37,92,81,4.32,RU,2022-09-29 14:23:03
241,Mecca,21.4267,39.8261,97.34,28,7,16.93,SA,2022-09-29 14:22:20
242,Khorixas,-20.3667,14.9667,97.97,9,21,16.84,NA,2022-09-29 14:23:03
243,Pringsewu,-5.3582,104.9744,75.2,91,100,2.04,ID,2022-09-29 14:23:04
244,Sao Joao Da Barra,-21.6403,-41.0511,71.69,91,100,11.41,BR,2022-09-29 14:23:04
245,Port Macquarie,-31.4333,152.9167,60.89,88,95,18.01,AU,2022-09-29 14:23:04
246,Souillac,-20.5167,57.5167,71.98,68,40,11.5,MU,2022-09-29 14:23:05
247,Constantine,36.365,6.6147,80.01,19,0,14.97,DZ,2022-09-29 14:23:05
248,Van Wert,40.8695,-84.5841,55.38,86,0,5.99,US,2022-09-29 14:21:35
249,Korla,41.7597,86.1469,71.24,26,83,11.56,CN,2022-09-29 14:23:05
250,Belmonte,-15.8631,-38.8828,81.45,61,9,10.78,BR,2022-09-29 14:23:06
251,Karpathos,35.507,27.2132,78.76,83,0,6.91,GR,2022-09-29 14:23:06
252,Rocky Mountain House,52.3668,-114.9188,48.31,81,100,6.91,CA,2022-09-29 14:23:06
253,Baikunthpur,23.25,82.55,75.27,76,10,5.23,IN,2022-09-29 14:23:07
254,Benguela,-12.5763,13.4055,78.01,71,36,9.19,AO,2022-09-29 14:23:07
255,Ixtapa,20.7,-105.2,80.22,94,75,4.61,MX,2022-09-29 14:21:13
256,San Patricio,28.017,-97.5169,75.9,59,0,6.53,US,2022-09-29 14:23:08
257,Sur,22.5667,59.5289,83.5,68,2,13.94,OM,2022-09-29 14:23:08
258,Ulladulla,-35.35,150.4667,56.03,82,99,15.52,AU,2022-09-29 14:23:09
259,Khasan,42.4308,130.6434,61.12,88,1,3.62,RU,2022-09-29 14:23:09
260,Nago,26.5881,127.9761,79.65,80,3,6.42,JP,2022-09-29 14:23:10
261,Bingen,48.1113,9.2724,53.29,79,100,2.66,DE,2022-09-29 14:23:10
262,Tiksi,71.6872,128.8694,18.7,95,99,5.77,RU,2022-09-29 14:23:11
263,Khandyga,62.6667,135.6,27.34,95,98,3.2,RU,2022-09-29 14:23:11
264,Amahai,-3.3333,128.9167,79.12,84,95,3.69,ID,2022-09-29 14:23:12
265,Okhotsk,59.3833,143.3,37.81,73,0,12.66,RU,2022-09-29 14:23:12
266,Pemba,-12.974,40.5178,77.7,83,75,13.8,MZ,2022-09-29 14:23:12
267,Karasburg,-28.0167,18.75,90.88,13,43,17.36,NA,2022-09-29 14:23:13
268,Fare,-16.7,-151.0167,78.69,68,56,11.77,PF,2022-09-29 14:23:13
269,Zemio,5.0314,25.1361,80.29,73,62,2.46,CF,2022-09-29 14:23:13
270,Tuatapere,-46.1333,167.6833,36.95,76,30,1.66,NZ,2022-09-29 14:23:14
271,Moche,-8.1711,-79.0092,59.18,88,100,10.36,PE,2022-09-29 14:23:14
272,Rusape,-18.5278,32.1284,79.18,17,0,11.36,ZW,2022-09-29 14:23:15
273,Clyde River,70.4692,-68.5914,30.43,74,100,5.75,CA,2022-09-29 14:23:15
274,Bilibino,68.0546,166.4372,17.78,80,15,3.0,RU,2022-09-29 14:23:15
275,Lagunas,-5.2269,-75.6753,86.61,56,11,2.75,PE,2022-09-29 14:23:16
276,Aklavik,68.2191,-135.0107,26.06,92,97,9.04,CA,2022-09-29 14:23:16
277,Carahue,-38.7,-73.1667,60.35,63,34,1.83,CL,2022-09-29 14:23:16
278,Cockburn Town,21.4612,-71.1419,81.79,74,6,16.17,TC,2022-09-29 14:24:17
279,Araouane,18.9048,-3.5265,104.94,13,57,6.98,ML,2022-09-29 14:24:17
280,Baker City,44.7749,-117.8344,52.2,88,20,6.91,US,2022-09-29 14:21:05
281,Pingliang,35.5392,106.6861,62.04,63,71,3.67,CN,2022-09-29 14:24:18
282,Lagoa,39.05,-27.9833,67.46,64,75,10.36,PT,2022-09-29 14:24:18
283,Alberdi,-32.8899,-60.6906,64.04,49,0,12.66,AR,2022-09-29 14:24:18
284,Carnarvon,-24.8667,113.6333,70.16,61,9,12.37,AU,2022-09-29 14:24:19
285,Ishim,56.1128,69.4902,28.22,80,99,6.04,RU,2022-09-29 14:24:19
286,Calgary,51.0501,-114.0853,66.56,52,100,7.0,CA,2022-09-29 14:20:01
287,Miri,4.4148,114.0089,80.74,94,20,5.75,MY,2022-09-29 14:24:19
288,Bari,41.1177,16.8512,80.94,41,0,10.36,IT,2022-09-29 14:24:20
289,Bridgton,44.0548,-70.7128,60.04,69,2,10.33,US,2022-09-29 14:21:25
290,Villefontaine,45.6125,5.1456,59.49,58,40,3.44,FR,2022-09-29 14:24:20
291,Great Falls,47.5002,-111.3008,69.19,30,75,10.36,US,2022-09-29 14:19:32
292,Waingapu,-9.6567,120.2641,80.4,79,93,2.01,ID,2022-09-29 14:24:21
293,Eureka,40.8021,-124.1637,55.67,97,0,4.59,US,2022-09-29 14:24:22
294,Salalah,17.0151,54.0924,78.89,94,75,9.22,OM,2022-09-29 14:24:22
295,Ahuimanu,21.4447,-157.8378,78.51,72,20,8.05,US,2022-09-29 14:24:22
296,Vung Tau,10.346,107.0843,79.93,85,100,10.94,VN,2022-09-29 14:24:23
297,Karaidel,55.8337,56.9069,37.92,90,100,9.28,RU,2022-09-29 14:24:23
298,Chengde,40.9725,117.9361,62.78,58,2,1.83,CN,2022-09-29 14:24:23
299,Fairbanks,64.8378,-147.7164,48.54,64,40,5.75,US,2022-09-29 14:24:24
300,Jalu,29.0331,21.5482,105.39,9,0,8.12,LY,2022-09-29 14:24:24
301,Monrovia,6.3005,-10.7969,78.57,91,100,7.4,LR,2022-09-29 14:24:24
302,Mount Isa,-20.7333,139.5,64.17,48,0,10.36,AU,2022-09-29 14:24:24
303,Ayan,56.45,138.1667,37.11,60,100,11.88,RU,2022-09-29 14:24:25
304,Buraydah,26.326,43.975,97.25,10,0,12.37,SA,2022-09-29 14:24:25
305,Mahuva,21.0914,71.7622,83.25,73,82,5.59,IN,2022-09-29 14:24:25
306,Joshimath,30.5667,79.5667,63.73,88,64,1.34,IN,2022-09-29 14:24:26
307,Bathsheba,13.2167,-59.5167,86.61,94,40,13.8,BB,2022-09-29 14:24:26
308,Scarborough,54.2797,-0.4044,58.93,84,100,8.01,GB,2022-09-29 14:24:26
309,Sterling,39.0062,-77.4286,62.13,68,20,13.0,US,2022-09-29 14:24:27
310,Ust-Tsilma,65.441,52.1498,32.81,63,7,5.37,RU,2022-09-29 14:24:27
311,Morehead,37.2711,-87.1764,55.15,77,0,6.91,US,2022-09-29 14:24:27
312,Anito,12.4497,125.2886,78.89,88,100,6.53,PH,2022-09-29 14:24:28
313,Ponta Do Sol,32.6667,-17.1,77.72,76,2,2.3,PT,2022-09-29 14:24:28
314,Balabac,7.9868,117.0645,80.96,81,100,6.73,PH,2022-09-29 14:24:28
315,Anadyr,64.75,177.4833,19.9,86,0,4.47,RU,2022-09-29 14:24:29
316,Martaban,16.5314,97.6111,76.3,95,100,5.06,MM,2022-09-29 14:24:29
317,Klaksvik,62.2266,-6.589,47.32,78,98,15.55,FO,2022-09-29 14:24:29
318,Lorengau,-2.0226,147.2712,81.72,76,93,8.88,PG,2022-09-29 14:24:30
319,Margate,51.3813,1.3862,61.11,67,72,5.99,GB,2022-09-29 14:24:30
320,Giyani,-23.3025,30.7187,84.18,27,0,8.61,ZA,2022-09-29 14:24:30
321,Boa Vista,2.8197,-60.6733,89.58,55,20,9.22,BR,2022-09-29 14:23:37
322,Noumea,-22.2763,166.4572,73.38,79,100,4.21,NC,2022-09-29 14:21:38
323,Erzin,36.9559,36.2,80.04,70,0,7.67,TR,2022-09-29 14:24:31
324,Erenhot,43.6475,111.9767,72.91,25,10,21.74,CN,2022-09-29 14:24:31
325,Zyryanka,65.75,150.85,27.3,67,97,11.21,RU,2022-09-29 14:25:31
326,Mahibadhoo,3.7833,72.9667,81.1,77,100,17.11,MV,2022-09-29 14:25:32
327,Rio Cuarto,-33.1307,-64.3499,68.32,45,0,11.5,AR,2022-09-29 14:25:32
328,Niquelandia,-14.4739,-48.4597,93.7,21,100,6.08,BR,2022-09-29 14:25:32
329,Dunedin,-45.8742,170.5036,41.81,67,82,4.0,NZ,2022-09-29 14:25:33
330,Garowe,8.4054,48.4845,86.76,43,62,21.88,SO,2022-09-29 14:25:33
331,Iberia,29.9502,-91.7507,61.09,55,0,11.5,US,2022-09-29 14:25:33
332,Floresta,-8.6011,-38.5686,87.69,34,11,10.29,BR,2022-09-29 14:25:34
333,Belaya Gora,68.5333,146.4167,23.65,82,74,5.66,RU,2022-09-29 14:25:34
334,Kursumlija,43.1458,21.2686,66.33,72,100,7.36,RS,2022-09-29 14:25:34
335,Tautira,-17.7333,-149.15,76.96,74,3,13.13,PF,2022-09-29 14:25:35
336,Kawalu,-7.3817,108.2082,72.86,94,99,1.99,ID,2022-09-29 14:25:35
337,Port Hardy,50.6996,-127.4199,51.8,100,75,2.3,CA,2022-09-29 14:25:36
338,Antalaha,-14.9003,50.2788,72.95,68,1,13.96,MG,2022-09-29 14:25:37
339,Pinawa,50.1489,-95.8811,50.9,41,18,9.69,CA,2022-09-29 14:25:37
340,Yining,29.0361,114.5636,76.35,66,16,0.58,CN,2022-09-29 14:25:37
341,Sorong,-0.8833,131.25,79.52,83,100,5.53,ID,2022-09-29 14:25:38
342,Bulawayo,-20.15,28.5833,81.48,20,0,10.63,ZW,2022-09-29 14:25:38
343,Kharp,66.8014,65.8081,28.54,73,81,0.89,RU,2022-09-29 14:25:39
344,Fevik,58.3794,8.6766,55.09,64,70,14.94,NO,2022-09-29 14:25:39
